episode,steps,return,length,success,crash,wall_time
385,38107,-47.784,28,0,1,348.2
386,38357,84.071,250,0,0,352.4
387,38607,56.072,250,0,0,357.0
388,38857,60.914,250,0,0,366.0
389,39107,60.291,250,0,0,375.9
390,39357,53.937,250,0,0,381.2
391,39399,-18.657,42,0,1,381.8
392,39467,-4.644,68,0,1,383.3
393,39511,-42.189,44,0,1,384.6
394,39534,-38.902,23,0,1,385.0
395,39573,-20.428,39,0,1,385.5
396,39592,-57.615,19,0,1,386.1
397,39619,-75.101,27,0,1,386.8
398,39869,70.937,250,0,0,393.2
399,40119,57.764,250,0,0,399.1
400,40369,55.465,250,0,0,402.2
401,40423,-46.987,54,0,1,402.8
402,40425,-99.829,2,0,1,402.8
403,40451,-72.894,26,0,1,403.1
404,40701,60.569,250,0,0,405.8
405,40951,79.645,250,0,0,408.5
406,41201,60.183,250,0,0,411.2
407,41451,87.201,250,0,0,413.9
408,41701,72.283,250,0,0,417.0
409,41750,-16.203,49,0,1,417.8
410,41932,191.355,182,1,0,420.1
411,42182,83.703,250,0,0,422.9
412,42432,83.573,250,0,0,425.8
413,42682,83.604,250,0,0,430.0
414,42932,31.773,250,0,0,433.6
415,43182,72.218,250,0,0,436.3
416,43432,10.173,250,0,0,438.9
417,43682,48.438,250,0,0,441.6
418,43932,57.903,250,0,0,444.3
419,44036,-17.405,104,0,1,445.5
420,44155,-30.208,119,0,1,446.8
421,44248,-19.43,93,0,1,447.8
422,44498,78.609,250,0,0,450.5
423,44748,68.412,250,0,0,453.2
424,44998,62.05,250,0,0,455.9
425,45083,-23.203,85,0,1,456.8
426,45138,-64.856,55,0,1,457.4
427,45279,-29.127,141,0,1,458.9
428,45529,72.17,250,0,0,461.6
429,45604,-33.798,75,0,1,462.4
430,45647,-27.808,43,0,1,462.8
431,45733,-32.734,86,0,1,463.7
432,45894,-30.254,161,0,1,465.5
433,46144,76.904,250,0,0,468.1
434,46157,-96.577,13,0,1,468.3
435,46407,-15.572,250,0,0,471.2
436,46511,-33.426,104,0,1,472.3
437,46761,25.558,250,0,0,475.1
438,47011,58.872,250,0,0,477.9
439,47261,71.782,250,0,0,481.1
440,47511,74.666,250,0,0,483.8
441,47761,80.905,250,0,0,487.3
442,48011,79.237,250,0,0,490.0
443,48261,75.066,250,0,0,492.8
444,48511,73.162,250,0,0,495.7
445,48523,-107.257,12,0,1,495.8
446,48694,-41.255,171,0,1,497.8
447,48944,68.986,250,0,0,500.5
448,49194,58.623,250,0,0,503.2
449,49444,35.484,250,0,0,505.9
450,49694,69.504,250,0,0,508.6
451,49944,67.695,250,0,0,511.4
452,50194,77.704,250,0,0,514.1
453,50278,193.006,84,1,0,514.9
454,50528,65.448,250,0,0,517.6
455,50690,-57.371,162,0,1,519.3
456,50833,-29.614,143,0,1,520.8
457,51083,28.643,250,0,0,523.5
458,51333,84.796,250,0,0,526.2
459,51583,66.767,250,0,0,528.9
460,51833,73.169,250,0,0,531.7
461,52083,28.447,250,0,0,534.4
462,52333,69.844,250,0,0,537.2
463,52583,77.645,250,0,0,541.5
464,52833,94.793,250,0,0,547.0
465,52855,-63.433,22,0,1,547.4
466,53105,48.093,250,0,0,552.3
467,53355,74.352,250,0,0,555.4
468,53605,62.606,250,0,0,558.0
469,53855,59.735,250,0,0,560.5
470,54105,60.578,250,0,0,563.1
471,54355,67.953,250,0,0,565.9
472,54605,87.234,250,0,0,568.7
473,54855,61.232,250,0,0,571.3
474,54881,-45.882,26,0,1,571.5
475,54924,-34.889,43,0,1,572.0
476,55174,71.98,250,0,0,574.8
477,55424,71.437,250,0,0,577.5
478,55674,72.424,250,0,0,580.2
479,55924,70.08,250,0,0,583.0
480,56174,65.98,250,0,0,585.7
481,56424,70.051,250,0,0,588.3
482,56674,32.619,250,0,0,591.1
483,56730,-39.167,56,0,1,591.7
484,56780,-21.33,50,0,1,592.3
485,57030,71.408,250,0,0,597.3
486,57280,41.382,250,0,0,602.1
487,57366,-58.599,86,0,1,603.3
488,57616,64.975,250,0,0,607.5
489,57866,38.434,250,0,0,611.5
490,58116,86.295,250,0,0,614.8
491,58366,66.282,250,0,0,617.4
492,58458,-47.008,92,0,1,618.3
493,58585,-36.496,127,0,1,619.6
494,58835,58.628,250,0,0,622.1
495,59085,55.463,250,0,0,624.6
496,59335,48.83,250,0,0,627.2
497,59585,48.335,250,0,0,629.7
498,59835,76.016,250,0,0,632.2
499,59979,-26.186,144,0,1,633.7
500,60032,-25.498,53,0,1,634.2
501,60080,-45.576,48,0,1,634.7
502,60129,-16.659,49,0,1,635.2
503,60379,60.7,250,0,0,637.8
