episode,steps,return,length,success,crash,wall_time
523,65395,197.206,152,1,0,142.7
524,65645,72.343,250,0,0,143.9
525,65834,187.21,189,1,0,144.2
526,65983,202.369,149,1,0,144.4
527,66115,-20.754,132,0,1,144.6
528,66250,195.553,135,1,0,144.8
529,66310,187.015,60,1,0,144.9
530,66397,194.224,87,1,0,145.0
531,66439,-21.735,42,0,1,145.1
532,66547,-17.517,108,0,1,145.3
533,66669,197.169,122,1,0,145.5
534,66914,-27.428,245,0,1,146.0
535,67106,183.262,192,1,0,146.3
536,67356,86.476,250,0,0,146.7
537,67528,194.974,172,1,0,147.0
538,67660,-17.08,132,0,1,148.1
539,67754,200.059,94,1,0,148.2
540,67936,190.291,182,1,0,148.5
541,68186,61.649,250,0,0,148.9
542,68264,-32.516,78,0,1,149.0
543,68417,182.639,153,1,0,149.2
544,68564,-32.985,147,0,1,149.4
545,68645,193.009,81,1,0,149.6
546,68795,180.114,150,1,0,149.8
547,68880,190.06,85,1,0,149.9
548,69020,196.296,140,1,0,150.1
549,69270,87.79,250,0,0,150.5
550,69410,-30.919,140,0,1,150.8
551,69494,202.102,84,1,0,150.9
552,69628,182.379,134,1,0,151.1
553,69878,70.091,250,0,0,152.6
554,69964,201.359,86,1,0,152.7
555,70133,-21.032,169,0,1,153.0
556,70136,-96.234,3,0,1,153.0
557,70195,-87.95,59,0,1,153.1
558,70445,70.484,250,0,0,153.5
559,70695,60.678,250,0,0,153.9
560,70945,88.895,250,0,0,154.3
561,71021,179.978,76,1,0,154.5
562,71271,82.444,250,0,0,155.0
563,71473,-9.359,202,0,1,155.4
564,71592,200.429,119,1,0,155.6
565,71690,181.521,98,1,0,156.8
566,71794,-29.498,104,0,1,157.0
567,71841,-56.866,47,0,1,157.1
568,71935,-51.059,94,0,1,157.3
569,72119,188.333,184,1,0,157.6
570,72235,198.76,116,1,0,157.8
571,72350,-24.825,115,0,1,158.0
572,72471,195.305,121,1,0,158.2
573,72576,-18.906,105,0,1,158.4
574,72582,-96.699,6,0,1,158.4
575,72832,81.582,250,0,0,158.9
576,72916,-7.255,84,0,1,159.0
577,72994,191.137,78,1,0,159.2
578,73017,-75.51,23,0,1,159.2
579,73057,-67.477,40,0,1,159.3
580,73097,-53.706,40,0,1,159.3
581,73269,178.374,172,1,0,159.6
582,73473,183.345,204,1,0,160.0
583,73517,-52.373,44,0,1,160.1
584,73612,188.362,95,1,0,160.3
585,73862,61.688,250,0,0,162.4
586,74065,175.607,203,1,0,162.8
587,74177,182.26,112,1,0,163.0
588,74318,192.609,141,1,0,163.3
589,74568,58.038,250,0,0,163.7
590,74733,196.366,165,1,0,164.0
591,74983,79.954,250,0,0,164.4
592,75060,192.438,77,1,0,164.6
593,75180,184.036,120,1,0,164.8
594,75311,191.14,131,1,0,165.0
595,75359,-34.685,48,0,1,165.1
596,75487,194.727,128,1,0,165.3
597,75581,-52.644,94,0,1,165.4
598,75763,187.06,182,1,0,165.8
599,75815,-31.436,52,0,1,167.1
600,75932,186.707,117,1,0,167.3
601,76158,187.494,226,1,0,167.7
602,76288,208.719,130,1,0,167.9
603,76361,186.426,73,1,0,168.1
604,76430,198.302,69,1,0,168.2
605,76521,194.399,91,1,0,168.3
606,76605,192.707,84,1,0,168.5
607,76667,191.51,62,1,0,168.6
608,76768,191.061,101,1,0,168.8
609,76929,195.911,161,1,0,169.1
610,77047,188.118,118,1,0,169.4
611,77102,-57.569,55,0,1,169.5
612,77145,-92.738,43,0,1,169.6
